HomeTeam,AwayTeam,FTHG,FTAG,FTR
Southampton,Crystal Palace,1,2,A
Swansea,Tottenham,0,2,A
West Ham,West Brom,2,1,H
Arsenal,Chelsea,2,2,D
Tottenham,West Ham,1,1,D
Chelsea,Leicester,0,0,D
Crystal Palace,Burnley,1,0,H
Huddersfield,West Ham,1,4,A
Newcastle,Swansea,1,1,D
Tottenham,Everton,4,0,H
Watford,Southampton,2,2,D
West Brom,Brighton,2,0,H
Bournemouth,Arsenal,2,1,H
Liverpool,Man City,4,3,H
Man United,Stoke,3,0,H
Arsenal,Crystal Palace,4,1,H
Brighton,Chelsea,0,4,A
Burnley,Man United,0,1,A
Everton,West Brom,1,1,D
Leicester,Watford,2,0,H
Man City,Newcastle,3,1,H
Stoke,Huddersfield,2,0,H
West Ham,Bournemouth,1,1,D
Southampton,Tottenham,1,1,D
Swansea,Liverpool,1,0,H
Huddersfield,Liverpool,0,3,A
Swansea,Arsenal,3,1,H
West Ham,Crystal Palace,1,1,D
Chelsea,Bournemouth,0,3,A
Everton,Leicester,2,1,H
Man City,West Brom,3,0,H
Newcastle,Burnley,1,1,D
Southampton,Brighton,1,1,D
Stoke,Watford,0,0,D
Tottenham,Man United,2,0,H
Arsenal,Everton,5,1,H
Bournemouth,Stoke,2,1,H
Brighton,West Ham,3,1,H
Burnley,Man City,1,1,D
Leicester,Swansea,1,1,D
Man United,Huddersfield,2,0,H
West Brom,Southampton,2,3,A
Crystal Palace,Newcastle,1,1,D
Liverpool,Tottenham,2,2,D
Watford,Chelsea,4,1,H
Everton,Crystal Palace,3,1,H
